track_id,frame_id,idx_kp
0,0,3
0,1,1
1,0,11
1,1,574
2,0,12
2,1,10
2,2,18
3,0,13
3,1,12
3,2,20
4,0,18
4,1,19
5,0,19
5,1,20
6,0,23
6,1,23
6,2,26
7,0,24
7,1,24
8,0,25
8,1,6
8,2,667
8,3,954
9,0,29
9,1,918
9,2,937
9,3,971
9,4,972
9,5,998
9,6,1017
9,7,1011
9,8,1015
10,0,31
10,1,8
11,0,34
11,1,25
12,0,35
12,1,35
12,2,1
13,0,38
13,1,668
14,0,40
14,1,21
15,0,41
15,1,15
15,2,1326
15,3,1377
15,4,1415
15,5,1453
15,6,1528
16,0,42
16,1,110
16,2,111
16,3,104
16,4,98
16,5,60
17,0,43
17,1,37
18,0,44
18,1,22
19,0,45
19,1,40
20,0,48
20,1,32
21,0,49
21,1,65
21,2,35
22,0,50
22,1,36
22,2,19
23,0,51
23,1,44
24,0,53
24,1,31
25,0,54
25,1,39
26,0,55
26,1,1100
26,2,1125
26,3,1163
26,4,1194
26,5,1230
26,6,1284
26,7,1256
26,8,1284
26,9,1257
27,0,58
27,1,59
27,2,66
28,0,59
28,1,54
28,2,48
28,3,39
29,0,60
29,1,61
29,2,54
29,3,45
29,4,49
29,5,25
30,0,61
30,1,67
30,2,56
30,3,48
31,0,62
31,1,42
31,2,506
32,0,64
32,1,71
32,2,65
32,3,55
32,4,57
33,0,65
33,1,47
33,2,31
34,0,66
34,1,46
34,2,29
35,0,68
35,1,77
35,2,69
36,0,69
36,1,78
36,2,15
36,3,8
36,4,61
36,5,776
36,6,792
36,7,782
36,8,780
36,9,965
36,10,947
36,11,768
36,12,934
36,13,913
36,14,901
36,15,930
36,16,912
36,17,890
36,18,876
36,19,883
37,0,71
37,1,49
38,0,72
38,1,50
38,2,33
39,0,76
39,1,55
39,2,34
39,3,11
40,0,78
40,1,60
40,2,990
40,3,1018
41,0,79
41,1,64
42,0,80
42,1,62
42,2,308
43,0,83
43,1,74
43,2,42
44,0,95
44,1,95
44,2,100
45,0,96
45,1,99
45,2,105
46,0,98
46,1,102
47,0,99
47,1,76
48,0,100
48,1,103
49,0,101
49,1,83
49,2,53
49,3,19
50,0,102
50,1,84
50,2,57
50,3,20
51,0,104
51,1,80
51,2,1369
51,3,1434
51,4,1502
52,0,105
52,1,86
53,0,106
53,1,88
53,2,61
54,0,107
54,1,87
54,2,58
54,3,22
54,4,89
55,0,108
55,1,91
55,2,64
56,0,111
56,1,124
56,2,122
57,0,112
57,1,122
58,0,113
58,1,90
58,2,60
58,3,21
59,0,114
59,1,92
60,0,115
60,1,93
61,0,120
61,1,1314
61,2,1346
61,3,1401
61,4,1452
61,5,1485
61,6,1562
61,7,1516
61,8,1530
61,9,1520
61,10,1513
61,11,949
62,0,121
62,1,94
63,0,122
63,1,1267
64,0,123
64,1,1361
65,0,125
65,1,101
65,2,71
66,0,126
66,1,107
67,0,127
67,1,113
67,2,87
67,3,1427
68,0,128
68,1,104
69,0,129
69,1,105
70,0,130
70,1,135
71,0,133
71,1,117
72,0,135
72,1,771
73,0,138
73,1,115
73,2,84
74,0,139
74,1,824
74,2,832
74,3,140
74,4,843
75,0,140
75,1,1378
75,2,85
76,0,142
76,1,142
77,0,144
77,1,119
78,0,147
78,1,121
78,2,86
78,3,42
78,4,8
79,0,152
79,1,151
80,0,153
80,1,129
80,2,94
81,0,154
81,1,154
81,2,159
81,3,156
82,0,155
82,1,131
83,0,156
83,1,153
84,0,160
84,1,150
84,2,127
84,3,731
84,4,1509
84,5,984
85,0,162
85,1,162
86,0,164
86,1,164
86,2,121
86,3,117
86,4,110
87,0,165
87,1,165
87,2,164
88,0,168
88,1,167
89,0,170
89,1,166
89,2,165
90,0,171
90,1,168
90,2,167
90,3,662
90,4,636
91,0,173
91,1,172
91,2,170
92,0,175
92,1,173
92,2,172
92,3,169
93,0,176
93,1,177
93,2,178
94,0,179
94,1,176
94,2,176
95,0,180
95,1,125
96,0,181
96,1,143
96,2,116
96,3,74
96,4,14
97,0,183
97,1,184
97,2,180
98,0,184
98,1,185
98,2,181
99,0,185
99,1,183
99,2,179
99,3,742
100,0,186
100,1,186
101,0,187
101,1,187
101,2,182
102,0,189
102,1,188
102,2,184
102,3,178
102,4,164
103,0,190
